Age_Group,Year,Activity,Percentage
6-9 year olds,2015,Play games,63.341924
6-9 year olds,2016,Play games,67.653495
6-9 year olds,2017,Play games,67.892095
6-9 year olds,2018,Play games,71.411603
6-9 year olds,2019,Play games,72.483664
6-9 year olds,2020,Play games,72.936551
6-9 year olds,2015,Take photos/videos,44.185763
6-9 year olds,2016,Take photos/videos,50.155705
6-9 year olds,2017,Take photos/videos,46.852179
6-9 year olds,2018,Take photos/videos,50.395171
6-9 year olds,2019,Take photos/videos,56.577232
6-9 year olds,2020,Take photos/videos,53.473523
6-9 year olds,2015,Use apps,39.210329
6-9 year olds,2016,Use apps,45.545731
6-9 year olds,2017,Use apps,46.331206
6-9 year olds,2018,Use apps,53.308722
6-9 year olds,2019,Use apps,54.808383
6-9 year olds,2020,Use apps,55.932801
6-9 year olds,2015,Send or receive texts,19.421091
6-9 year olds,2016,Send or receive texts,21.848802
6-9 year olds,2017,Send or receive texts,25.969854
6-9 year olds,2018,Send or receive texts,24.185695
6-9 year olds,2019,Send or receive texts,29.985920
6-9 year olds,2020,Send or receive texts,34.428459
10-11 year olds,2015,Play games,57.910890
10-11 year olds,2016,Play games,58.852445
10-11 year olds,2017,Play games,63.491952
10-11 year olds,2018,Play games,67.747970
10-11 year olds,2019,Play games,67.319086
10-11 year olds,2020,Play games,68.854497
10-11 year olds,2015,Take photos/videos,61.942735
10-11 year olds,2016,Take photos/videos,63.921389
10-11 year olds,2017,Take photos/videos,67.327663
10-11 year olds,2018,Take photos/videos,68.563063
10-11 year olds,2019,Take photos/videos,68.749557
10-11 year olds,2020,Take photos/videos,73.084126
10-11 year olds,2015,Use apps,50.158327
10-11 year olds,2016,Use apps,57.514022
10-11 year olds,2017,Use apps,59.390506
10-11 year olds,2018,Use apps,63.905634
10-11 year olds,2019,Use apps,63.097003
10-11 year olds,2020,Use apps,66.012586
10-11 year olds,2015,Send or receive texts,60.825624
10-11 year olds,2016,Send or receive texts,61.765697
10-11 year olds,2017,Send or receive texts,54.103036
10-11 year olds,2018,Send or receive texts,61.777085
10-11 year olds,2019,Send or receive texts,65.232371
10-11 year olds,2020,Send or receive texts,64.218558
12-13 year olds,2015,Play games,63.999676
12-13 year olds,2016,Play games,58.736965
12-13 year olds,2017,Play games,66.602237
12-13 year olds,2018,Play games,72.486801
12-13 year olds,2019,Play games,68.468202
12-13 year olds,2020,Play games,71.218049
12-13 year olds,2015,Take photos/videos,75.050549
12-13 year olds,2016,Take photos/videos,84.095593
12-13 year olds,2017,Take photos/videos,79.524823
12-13 year olds,2018,Take photos/videos,80.198358
12-13 year olds,2019,Take photos/videos,79.943171
12-13 year olds,2020,Take photos/videos,83.829033
12-13 year olds,2015,Use apps,75.766723
12-13 year olds,2016,Use apps,70.528416
12-13 year olds,2017,Use apps,73.570176
12-13 year olds,2018,Use apps,79.739775
12-13 year olds,2019,Use apps,73.473595
12-13 year olds,2020,Use apps,82.470505
12-13 year olds,2015,Send or receive texts,84.148154
12-13 year olds,2016,Send or receive texts,82.261899
12-13 year olds,2017,Send or receive texts,85.253046
12-13 year olds,2018,Send or receive texts,81.309062
12-13 year olds,2019,Send or receive texts,85.346853
12-13 year olds,2020,Send or receive texts,88.756214
