State_Group,Activity,Percentage
NSW/ACT,Play games,72.899482
NSW/ACT,Take photos/videos,68.104288
NSW/ACT,Use apps,65.595692
NSW/ACT,Send or receive texts,63.331180
NSW/ACT,Call parents/family,59.636744
NSW/ACT,Listen to music,56.982630
NSW/ACT,Receive calls from parents/family,56.832189
NSW/ACT,Send or receive picture messages,46.061073
NSW/ACT,Access the internet,47.796458
NSW/ACT,Call my friends,43.877414
Vic/Tas,Play games,74.393933
Vic/Tas,Take photos/videos,69.875122
Vic/Tas,Use apps,72.876242
Vic/Tas,Send or receive texts,60.204162
Vic/Tas,Call parents/family,65.070181
Vic/Tas,Listen to music,61.854659
Vic/Tas,Receive calls from parents/family,60.852951
Vic/Tas,Send or receive picture messages,48.790933
Vic/Tas,Access the internet,45.474136
Vic/Tas,Call my friends,44.757805
Qld,Play games,65.340884
Qld,Take photos/videos,70.923831
Qld,Use apps,65.485194
Qld,Send or receive texts,61.761017
Qld,Call parents/family,58.749021
Qld,Listen to music,54.806281
Qld,Receive calls from parents/family,57.170560
Qld,Send or receive picture messages,47.675005
Qld,Access the internet,44.606775
Qld,Call my friends,48.067305
SA/NT,Play games,69.601556
SA/NT,Take photos/videos,71.077209
SA/NT,Use apps,64.887268
SA/NT,Send or receive texts,62.836113
SA/NT,Call parents/family,59.186219
SA/NT,Listen to music,55.972322
SA/NT,Receive calls from parents/family,57.540134
SA/NT,Send or receive picture messages,51.810574
SA/NT,Access the internet,53.250550
SA/NT,Call my friends,47.886029
WA,Play games,76.541306
WA,Take photos/videos,71.748316
WA,Use apps,71.493922
WA,Send or receive texts,64.120614
WA,Call parents/family,63.468700
WA,Listen to music,61.713214
WA,Receive calls from parents/family,58.789139
WA,Send or receive picture messages,42.544723
WA,Access the internet,40.672620
WA,Call my friends,45.698062
